<<<<<<< HEAD
fieldName,qTypeChar,dateField,boolField,enrichedField
cusip,S,N,N,N
isin,S,N,N,N
iceInstrumentId,J,N,N,N
ticker,S,N,N,N
securityTypeCode,J,N,N,N
useOfProceedsCode,J,N,N,N
purposeClassCode,J,N,N,N
purposeSubClassCode,J,N,N,N
assetClaimCode,J,N,N,N
assetStatusCode,J,N,N,N
saleTypeCode,J,N,N,N
issuerName,*,N,N,N
obligor,*,N,N,N
seriesName,*,N,N,N
stateCode,S,N,N,N
coupon,F,N,N,N
dayCountCode,J,N,N,N
couponTypeCode,J,N,N,N
isDefaulted,*,N,Y,N
firstCouponDate,D,Y,N,N
interestFrequencyCode,J,N,N,N
dealSize,F,N,N,N
seriesSize,F,N,N,N
lastPeriodAccrualDate,D,Y,N,N
maturityDate,D,Y,N,N
nextCouponDate,D,Y,N,N
prevCouponDate,D,Y,N,N
adjAccrualStart,D,Y,N,N
adjAccrualEnd,D,Y,N,N
issuePx,F,N,N,N
issueYld,F,N,N,N
isCallable,*,N,Y,N
makeWholeCall,*,N,Y,N
refundTypeCode,J,N,N,N
refundDate,D,Y,N,N
refundAnnounceDate,D,Y,N,N
refundPrice,F,N,N,N
principalFactor,F,N,N,N
accrualDate,D,Y,N,N
firstSettleDate,D,Y,N,N
issueDate,D,Y,N,N
isOutstanding,*,N,Y,N
isWi,*,N,Y,N
isBQ,*,N,Y,N
bondInsurance,*,N,N,N
maturitySize,F,N,N,N
origAmount,F,N,N,N
currAmount,F,N,N,N
minIncrement,F,N,N,N
minPiece,F,N,N,N
defaultDate,D,Y,N,N
defaultEventCode,J,N,N,N
defaultTypeCode,J,N,N,N
fedTaxStatusCode,J,N,N,N
stateTaxStatusCode,J,N,N,N
iceSectorCode,J,N,N,N
isVRDO,*,N,Y,N
nextCallDate,D,Y,N,N
nextCallPrice,F,N,N,N
parCallDate,D,Y,N,N
parCallPrice,F,N,N,N
extraordinaryRedemption,*,N,Y,N
mandatoryRedemptionCode,J,N,N,N
optionalRedemptionCode,J,N,N,N
nextSinkDate,D,Y,N,N
nextSinkPrice,F,N,N,N
putType,*,N,N,N
nextPutDate,D,Y,N,N
nextPutPrice,F,N,N,N
resetFrequencyCode,J,N,N,N
locBank,*,N,N,N
locTypeCode,J,N,N,N
underlyingBondId,J,N,N,N
rmktAgent,*,N,N,N
tenderAgent,*,N,N,N
trustee,*,N,N,N
dataSource,*,N,N,N
origSource,*,N,N,N
spLongRating,*,N,N,N
spShortRating,*,N,N,N
spUnderlyingRating,*,N,N,N
spIssuerRating,*,N,N,N
spLongOutlook,*,N,N,N
mdyLongRating,*,N,N,N
mdyShortRating,*,N,N,N
mdyIssuerShortRating,*,N,N,N
mdyIssuerLongRating,*,N,N,N
mdyLongOutlook,*,N,N,N
mdyShortOutlook,*,N,N,N
mdyEnhancedShortRating,*,N,N,N
mdyEnhancedLongRating,*,N,N,N
mdyInsuredLongRating,*,N,N,N
interestFrequency,*,N,N,Y
dayCount,*,N,N,Y
couponType,*,N,N,Y
saleType,*,N,N,Y
securityType,*,N,N,Y
fedTaxStatus,*,N,N,Y
stateTaxStatus,*,N,N,Y
iceSector,S,N,N,Y
useOfProceeds,*,N,N,Y
purposeClass,*,N,N,Y
purposeSubClass,*,N,N,Y
assetClaim,*,N,N,Y
assetStatus,S,N,N,Y
locType,*,N,N,Y
refundType,*,N,N,Y
mandatoryRedemption,*,N,N,Y
optionalRedemption,*,N,N,Y
resetFrequency,*,N,N,Y
defaultEvent,*,N,N,Y
defaultType,*,N,N,Y
=======
fieldName,qTypeChar,dateField,boolField,enrichedField
cusip,S,N,N,N
isin,S,N,N,N
iceInstrumentId,J,N,N,N
ticker,S,N,N,N
securityTypeCode,J,N,N,N
useOfProceedsCode,J,N,N,N
purposeClassCode,J,N,N,N
purposeSubClassCode,J,N,N,N
assetClaimCode,J,N,N,N
assetStatusCode,J,N,N,N
saleTypeCode,J,N,N,N
issuerName,*,N,N,N
obligor,*,N,N,N
seriesName,*,N,N,N
stateCode,S,N,N,N
coupon,F,N,N,N
dayCountCode,J,N,N,N
couponTypeCode,J,N,N,N
isDefaulted,*,N,Y,N
firstCouponDate,D,Y,N,N
interestFrequencyCode,J,N,N,N
dealSize,F,N,N,N
seriesSize,F,N,N,N
lastPeriodAccrualDate,D,Y,N,N
maturityDate,D,Y,N,N
nextCouponDate,D,Y,N,N
prevCouponDate,D,Y,N,N
adjAccrualStart,D,Y,N,N
adjAccrualEnd,D,Y,N,N
issuePx,F,N,N,N
issueYld,F,N,N,N
isCallable,*,N,Y,N
makeWholeCall,*,N,Y,N
refundTypeCode,J,N,N,N
refundDate,D,Y,N,N
refundAnnounceDate,D,Y,N,N
refundPrice,F,N,N,N
principalFactor,F,N,N,N
accrualDate,D,Y,N,N
firstSettleDate,D,Y,N,N
issueDate,D,Y,N,N
isOutstanding,*,N,Y,N
isWi,*,N,Y,N
isBQ,*,N,Y,N
bondInsurance,*,N,N,N
maturitySize,F,N,N,N
origAmount,F,N,N,N
currAmount,F,N,N,N
minIncrement,F,N,N,N
minPiece,F,N,N,N
defaultDate,D,Y,N,N
defaultEventCode,J,N,N,N
defaultTypeCode,J,N,N,N
fedTaxStatusCode,J,N,N,N
stateTaxStatusCode,J,N,N,N
iceSectorCode,J,N,N,N
isVRDO,*,N,Y,N
nextCallDate,D,Y,N,N
nextCallPrice,F,N,N,N
parCallDate,D,Y,N,N
parCallPrice,F,N,N,N
extraordinaryRedemption,*,N,Y,N
mandatoryRedemptionCode,J,N,N,N
optionalRedemptionCode,J,N,N,N
nextSinkDate,D,Y,N,N
nextSinkPrice,F,N,N,N
putType,*,N,N,N
nextPutDate,D,Y,N,N
nextPutPrice,F,N,N,N
resetFrequencyCode,J,N,N,N
locBank,*,N,N,N
locTypeCode,J,N,N,N
underlyingBondId,J,N,N,N
rmktAgent,*,N,N,N
tenderAgent,*,N,N,N
trustee,*,N,N,N
dataSource,*,N,N,N
origSource,*,N,N,N
spLongRating,*,N,N,N
spShortRating,*,N,N,N
spUnderlyingRating,*,N,N,N
spIssuerRating,*,N,N,N
spLongOutlook,*,N,N,N
mdyLongRating,*,N,N,N
mdyShortRating,*,N,N,N
mdyIssuerShortRating,*,N,N,N
mdyIssuerLongRating,*,N,N,N
mdyLongOutlook,*,N,N,N
mdyShortOutlook,*,N,N,N
mdyEnhancedShortRating,*,N,N,N
mdyEnhancedLongRating,*,N,N,N
mdyInsuredLongRating,*,N,N,N
interestFrequency,*,N,N,Y
dayCount,*,N,N,Y
couponType,*,N,N,Y
saleType,*,N,N,Y
securityType,*,N,N,Y
fedTaxStatus,*,N,N,Y
stateTaxStatus,*,N,N,Y
iceSector,S,N,N,Y
useOfProceeds,*,N,N,Y
purposeClass,*,N,N,Y
purposeSubClass,*,N,N,Y
assetClaim,*,N,N,Y
assetStatus,S,N,N,Y
locType,*,N,N,Y
refundType,*,N,N,Y
mandatoryRedemption,*,N,N,Y
optionalRedemption,*,N,N,Y
resetFrequency,*,N,N,Y
defaultEvent,*,N,N,Y
defaultType,*,N,N,Y
>>>>>>> fccabc011786cb47fefb6e7595ee648a1b955c87
